Field	BIDS CLINICA	BIDS format	BIDS type	ADNI	ADNI location
Neuropsychological Battery - Clock Drawing - Total Score	neurobat_clockscor			CLOCKSCOR	NEUROBAT.csv
Neuropsychological Battery - Clock Copying - 1 Approximately circular face	neurobat_copycirc			COPYCIRC	NEUROBAT.csv
Neuropsychological Battery - Clock Copying - 2 Symmetry of number placement	neurobat_copysym			COPYSYM	NEUROBAT.csv
Neuropsychological Battery - Clock Copying - 3 Correctness of numbers	neurobat_copynum			COPYNUM	NEUROBAT.csv
Neuropsychological Battery - Clock Copying - 4 Presence of the two hands	neurobat_copyhand			COPYHAND	NEUROBAT.csv
Neuropsychological Battery - Clock Copying - 5 Presence of the two hands, set to ten after eleven	neurobat_copytime			COPYTIME	NEUROBAT.csv
Neuropsychological Battery - Clock Copying - Total Score	neurobat_copyscor			COPYSCOR	NEUROBAT.csv
Neuropsychological Battery - Logical Memory - Immediate Recall - Which story was used?	neurobat_lmstory			LMSTORY	NEUROBAT.csv
Neuropsychological Battery - Logical Memory - Immediate Recall - Total Number of Story Units Recalled	neurobat_limmtotal			LIMMTOTAL	NEUROBAT.csv
Neuropsychological Battery - Logical Memory - Immediate Recall - Time Ended (24-hour clock)	neurobat_limmend			LIMMEND	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Trial 1 Total	neurobat_avtot1			AVTOT1	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Total Intrusions	neurobat_averr1			AVERR1	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Trial 2 Total	neurobat_avtot2			AVTOT2	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Total Intrusions	neurobat_averr2			AVERR2	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Trial 3 Total	neurobat_avtot3			AVTOT3	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Total Intrusions	neurobat_averr3			AVERR3	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Trial 4 Total	neurobat_avtot4			AVTOT4	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Total Intrusions	neurobat_averr4			AVERR4	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Trial 5 Total	neurobat_avtot5			AVTOT5	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Total Intrusions	neurobat_averr5			AVERR5	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Trial 6 Total	neurobat_avtot6			AVTOT6	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Total Intrusions	neurobat_averr6			AVERR6	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - List B Total	neurobat_avtotb			AVTOTB	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Total Intrusions	neurobat_averrb			AVERRB	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Time Trial B Ended	neurobat_avended			AVENDED	NEUROBAT.csv
Neuropsychological Battery - Digit Span - Forward: Total Correct	neurobat_dspanfor			DSPANFOR	NEUROBAT.csv
Neuropsychological Battery - Digit Span - Forward: Length	neurobat_dspanflth			DSPANFLTH	NEUROBAT.csv
Neuropsychological Battery - Digit Span - Backward: Total Correct	neurobat_dspanbac			DSPANBAC	NEUROBAT.csv
Neuropsychological Battery - Digit Span - Backward: Length	neurobat_dspanblth			DSPANBLTH	NEUROBAT.csv
Neuropsychological Battery - Category Fluency (Animals) - Total Correct	neurobat_catanimsc			CATANIMSC	NEUROBAT.csv
Neuropsychological Battery - Category Fluency (Animals) - Perseverations	neurobat_catanpers			CATANPERS	NEUROBAT.csv
Neuropsychological Battery - Category Fluency (Animals) - Intrusions	neurobat_catanintr			CATANINTR	NEUROBAT.csv
Neuropsychological Battery - Category Fluency (Vegetables) - Total Correct	neurobat_catvegesc			CATVEGESC	NEUROBAT.csv
Neuropsychological Battery - Category Fluency (Vegetables) - Perseverations	neurobat_catvgpers			CATVGPERS	NEUROBAT.csv
Neuropsychological Battery - Category Fluency (Vegetables) - Intrusions	neurobat_catvgintr			CATVGINTR	NEUROBAT.csv
Neuropsychological Battery - Trail Making Test - Part A - Time to Complete	neurobat_traascor			TRAASCOR	NEUROBAT.csv
Neuropsychological Battery - Trail Making Test - Errors of Commission	neurobat_traaerrcom			TRAAERRCOM	NEUROBAT.csv
Neuropsychological Battery - Trail Making Test - Errors of Omission	neurobat_traaerrom			TRAAERROM	NEUROBAT.csv
Neuropsychological Battery - Trail Making Test - Part B - Time to complete	neurobat_trabscor			TRABSCOR	NEUROBAT.csv
Neuropsychological Battery - Trail Making Test - Errors of Commission	neurobat_traberrcom			TRABERRCOM	NEUROBAT.csv
Neuropsychological Battery - Trail Making Test - Errors of Omission	neurobat_traberrom			TRABERROM	NEUROBAT.csv
Neuropsychological Battery - Digit Score - Total Correct	neurobat_digitscor			DIGITSCOR	NEUROBAT.csv
Neuropsychological Battery - Logical Memory - Delayed Recall - Time Began (24-hour clock)	neurobat_ldelbegin			LDELBEGIN	NEUROBAT.csv
Neuropsychological Battery - Logical Memory - Delayed Recall - Total Number of Story Units Recalled	neurobat_ldeltotal			LDELTOTAL	NEUROBAT.csv
Neuropsychological Battery - Logical Memory - Delayed Recall - Cue used?	neurobat_ldelcue			LDELCUE	NEUROBAT.csv
Neuropsychological Battery - Boston Naming Test - Check here if:	neurobat_bntnd			BNTND	NEUROBAT.csv
Neuropsychological Battery - Boston Naming Test - 1 Number of spontaneously given correct responses	neurobat_bntspont			BNTSPONT	NEUROBAT.csv
Neuropsychological Battery - Boston Naming Test - 2 Number of semantic cues given	neurobat_bntstim			BNTSTIM	NEUROBAT.csv
Neuropsychological Battery - Boston Naming Test - 3 Number of correct responses following a semantic cue	neurobat_bntcstim			BNTCSTIM	NEUROBAT.csv
Neuropsychological Battery - Boston Naming Test - 4 Number of phonemic cues given	neurobat_bntphon			BNTPHON	NEUROBAT.csv
Neuropsychological Battery - Boston Naming Test - 5 Number of correct responses following a phonemic cue	neurobat_bntcphon			BNTCPHON	NEUROBAT.csv
Neuropsychological Battery - Boston Naming Test - Total Number Correct (1+3)	neurobat_bnttotal			BNTTOTAL	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Delayed - Time Began (24-hour clock)	neurobat_avdelbegan			AVDELBEGAN	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Delayed - 30 Minute Delay Total	neurobat_avdel30min			AVDEL30MIN	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Delayed - Total Intrusions	neurobat_avdelerr1			AVDELERR1	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Delayed - Recognition Score	neurobat_avdeltot			AVDELTOT	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Delayed - Recognition Errors	neurobat_avdelerr2			AVDELERR2	NEUROBAT.csv
Neuropsychological Battery - American National Adult Reading Test - Check here if:	neurobat_anartnd			ANARTND	NEUROBAT.csv
Neuropsychological Battery - American National Adult Reading Test - Total score (total # of errors)	neurobat_anarterr			ANARTERR	NEUROBAT.csv
Neuropsychological Battery - Multilingual Naming Test - Total Correct - with Semantic Cue	neurobat_mintsemcue			MINTSEMCUE	NEUROBAT.csv
Neuropsychological Battery - Multilingual Naming Test - Total Correct (Uncued + Correct with Semantic cue)	neurobat_minttotal			MINTTOTAL	NEUROBAT.csv
Neuropsychological Battery - Multilingual Naming Test - Total Uncued Correct	neurobat_mintuncued			MINTUNCUED	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Forgetting (trial 5 - delayed)	neurobat_ravlt_forgetting			RAVLT_forgetting	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Immediate (sum of 5 trials)	neurobat_ravlt_immediate			RAVLT_immediate	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Learning (trial 5 - trial 1)	neurobat_ravlt_learning			RAVLT_learning	NEUROBAT.csv
Neuropsychological Battery - Rey Auditory Verbal Learning Test - Percent Forgetting	neurobat_ravlt_perc_forgetting			RAVLT_perc_forgetting	NEUROBAT.csv
					
Brain Health Registry - Everyday Cognition - Latest	bhr_everyday_cognition_latest			latest	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID49_1	bhr_everyday_cognition_qid49_1			QID49_1	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID49_2	bhr_everyday_cognition_qid49_2			QID49_2	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID49_3	bhr_everyday_cognition_qid49_3			QID49_3	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID49_4	bhr_everyday_cognition_qid49_4			QID49_4	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID49_5	bhr_everyday_cognition_qid49_5			QID49_5	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID49_6	bhr_everyday_cognition_qid49_6			QID49_6	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID49_7	bhr_everyday_cognition_qid49_7			QID49_7	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID49_8	bhr_everyday_cognition_qid49_8			QID49_8	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID50_1	bhr_everyday_cognition_qid50_1			QID50_1	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID50_2	bhr_everyday_cognition_qid50_2			QID50_2	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID50_3	bhr_everyday_cognition_qid50_3			QID50_3	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID50_4	bhr_everyday_cognition_qid50_4			QID50_4	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID50_5	bhr_everyday_cognition_qid50_5			QID50_5	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID50_6	bhr_everyday_cognition_qid50_6			QID50_6	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID50_7	bhr_everyday_cognition_qid50_7			QID50_7	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID50_8	bhr_everyday_cognition_qid50_8			QID50_8	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID50_9	bhr_everyday_cognition_qid50_9			QID50_9	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID51_1	bhr_everyday_cognition_qid51_1			QID51_1	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID51_2	bhr_everyday_cognition_qid51_2			QID51_2	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID51_3	bhr_everyday_cognition_qid51_3			QID51_3	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID51_4	bhr_everyday_cognition_qid51_4			QID51_4	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID51_5	bhr_everyday_cognition_qid51_5			QID51_5	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID51_6	bhr_everyday_cognition_qid51_6			QID51_6	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID51_7	bhr_everyday_cognition_qid51_7			QID51_7	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID52_1	bhr_everyday_cognition_qid52_1			QID52_1	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID52_2	bhr_everyday_cognition_qid52_2			QID52_2	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID52_3	bhr_everyday_cognition_qid52_3			QID52_3	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID52_4	bhr_everyday_cognition_qid52_4			QID52_4	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID52_5	bhr_everyday_cognition_qid52_5			QID52_5	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID53_1	bhr_everyday_cognition_qid53_1			QID53_1	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID53_2	bhr_everyday_cognition_qid53_2			QID53_2	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID53_3	bhr_everyday_cognition_qid53_3			QID53_3	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID53_4	bhr_everyday_cognition_qid53_4			QID53_4	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID53_5	bhr_everyday_cognition_qid53_5			QID53_5	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID53_6	bhr_everyday_cognition_qid53_6			QID53_6	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID54_1	bhr_everyday_cognition_qid54_1			QID54_1	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID54_2	bhr_everyday_cognition_qid54_2			QID54_2	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID54_3	bhr_everyday_cognition_qid54_3			QID54_3	BHR_EVERYDAY_COGNITION.csv
Brain Health Registry - Everyday Cognition - QID54_4	bhr_everyday_cognition_qid54_4			QID54_4	BHR_EVERYDAY_COGNITION.csv
					
Brain Health Registry - Baseline Questionnaire - Latest	bhr_baseline_questionnaire_latest			latest	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID49	bhr_baseline_questionnaire_qid49			QID49	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID50	bhr_baseline_questionnaire_qid50			QID50	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID4	bhr_baseline_questionnaire_qid4			QID4	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID2	bhr_baseline_questionnaire_qid2			QID2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID3	bhr_baseline_questionnaire_qid3			QID3	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID5	bhr_baseline_questionnaire_qid5			QID5	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID20	bhr_baseline_questionnaire_qid20			QID20	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID7	bhr_baseline_questionnaire_qid7			QID7	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID8	bhr_baseline_questionnaire_qid8			QID8	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID21	bhr_baseline_questionnaire_qid21			QID21	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID38	bhr_baseline_questionnaire_qid38			QID38	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID22	bhr_baseline_questionnaire_qid22			QID22	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID23_TEXT	bhr_baseline_questionnaire_qid23_text			QID23_TEXT	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID41	bhr_baseline_questionnaire_qid41			QID41	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID42_TEXT	bhr_baseline_questionnaire_qid42_text			QID42_TEXT	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID15_1	bhr_baseline_questionnaire_qid15_1			QID15_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID15_2	bhr_baseline_questionnaire_qid15_2			QID15_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID26_1	bhr_baseline_questionnaire_qid26_1			QID26_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID26_2	bhr_baseline_questionnaire_qid26_2			QID26_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID27_1	bhr_baseline_questionnaire_qid27_1			QID27_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID27_3	bhr_baseline_questionnaire_qid27_3			QID27_3	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_1	bhr_baseline_questionnaire_qid16_1			QID16_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_2	bhr_baseline_questionnaire_qid16_2			QID16_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_3	bhr_baseline_questionnaire_qid16_3			QID16_3	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_4	bhr_baseline_questionnaire_qid16_4			QID16_4	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_5	bhr_baseline_questionnaire_qid16_5			QID16_5	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_6	bhr_baseline_questionnaire_qid16_6			QID16_6	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_7	bhr_baseline_questionnaire_qid16_7			QID16_7	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_8	bhr_baseline_questionnaire_qid16_8			QID16_8	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_9	bhr_baseline_questionnaire_qid16_9			QID16_9	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID16_10	bhr_baseline_questionnaire_qid16_10			QID16_10	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID28_1	bhr_baseline_questionnaire_qid28_1			QID28_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID28_2	bhr_baseline_questionnaire_qid28_2			QID28_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID29_1	bhr_baseline_questionnaire_qid29_1			QID29_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID29_2	bhr_baseline_questionnaire_qid29_2			QID29_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID30_1	bhr_baseline_questionnaire_qid30_1			QID30_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID30_2	bhr_baseline_questionnaire_qid30_2			QID30_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID31_1	bhr_baseline_questionnaire_qid31_1			QID31_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID31_2	bhr_baseline_questionnaire_qid31_2			QID31_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID32_1	bhr_baseline_questionnaire_qid32_1			QID32_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID32_2	bhr_baseline_questionnaire_qid32_2			QID32_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID33_1	bhr_baseline_questionnaire_qid33_1			QID33_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID33_2	bhr_baseline_questionnaire_qid33_2			QID33_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID34_1	bhr_baseline_questionnaire_qid34_1			QID34_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID34_2	bhr_baseline_questionnaire_qid34_2			QID34_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID35_1	bhr_baseline_questionnaire_qid35_1			QID35_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID35_2	bhr_baseline_questionnaire_qid35_2			QID35_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID36_1	bhr_baseline_questionnaire_qid36_1			QID36_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID36_2	bhr_baseline_questionnaire_qid36_2			QID36_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID37_1	bhr_baseline_questionnaire_qid37_1			QID37_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID37_2	bhr_baseline_questionnaire_qid37_2			QID37_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID39_1	bhr_baseline_questionnaire_qid39_1			QID39_1	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID39_2	bhr_baseline_questionnaire_qid39_2			QID39_2	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID39_3	bhr_baseline_questionnaire_qid39_3			QID39_3	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID39_4	bhr_baseline_questionnaire_qid39_4			QID39_4	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID39_5	bhr_baseline_questionnaire_qid39_5			QID39_5	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID46_6	bhr_baseline_questionnaire_qid46_6			QID46_6	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID46_7	bhr_baseline_questionnaire_qid46_7			QID46_7	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID46_8	bhr_baseline_questionnaire_qid46_8			QID46_8	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID46_9	bhr_baseline_questionnaire_qid46_9			QID46_9	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID46_13	bhr_baseline_questionnaire_qid46_13			QID46_13	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID47_11	bhr_baseline_questionnaire_qid47_11			QID47_11	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID47_12	bhr_baseline_questionnaire_qid47_12			QID47_12	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID47_13	bhr_baseline_questionnaire_qid47_13			QID47_13	BHR_BASELINE_QUESTIONNAIRE.csv
Brain Health Registry - Baseline Questionnaire - QID47_14	bhr_baseline_questionnaire_qid47_14			QID47_14	BHR_BASELINE_QUESTIONNAIRE.csv
					
Brain Health Registry - Longitudinal Questionnaire - Latest	bhr_longitudinal_questionnaire_latest			latest	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID53	bhr_longitudinal_questionnaire_qid53			QID53	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID54	bhr_longitudinal_questionnaire_qid54			QID54	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID1	bhr_longitudinal_questionnaire_qid1			QID1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID2	bhr_longitudinal_questionnaire_qid2			QID2	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID3	bhr_longitudinal_questionnaire_qid3			QID3	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID4	bhr_longitudinal_questionnaire_qid4			QID4	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID24	bhr_longitudinal_questionnaire_qid24			QID24	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID6	bhr_longitudinal_questionnaire_qid6			QID6	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID7	bhr_longitudinal_questionnaire_qid7			QID7	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID8	bhr_longitudinal_questionnaire_qid8			QID8	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID25	bhr_longitudinal_questionnaire_qid25			QID25	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID10	bhr_longitudinal_questionnaire_qid10			QID10	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID12	bhr_longitudinal_questionnaire_qid12			QID12	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID27	bhr_longitudinal_questionnaire_qid27			QID27	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID28_TEXT	bhr_longitudinal_questionnaire_qid28_text			QID28_text	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID29	bhr_longitudinal_questionnaire_qid29			QID29	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID30_TEXT	bhr_longitudinal_questionnaire_qid30_text			QID30_text	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID18_1	bhr_longitudinal_questionnaire_qid18_1			QID18_1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID18_2	bhr_longitudinal_questionnaire_qid18_2			QID18_2	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID31_1	bhr_longitudinal_questionnaire_qid31_1			QID31_1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID31_2	bhr_longitudinal_questionnaire_qid31_2			QID31_2	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID32_1	bhr_longitudinal_questionnaire_qid32_1			QID32_1	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
Brain Health Registry - Longitudinal Questionnaire - QID32_3	bhr_longitudinal_questionnaire_qid32_3			QID32_3	BHR_LONGITUDINAL_QUESTIONNAIRE.csv
